medal_name,medal_classification,medal_difficulty,medal_count,unique_players,distinct_matches
First Touch,Ball,55,2403,1121,431
Big Gun Runner,WeaponProficiency,75,2399,2052,1882
Stealth Capture,CaptureTheFlag,10,2337,1541,1879
Flag Capture Assist,CaptureTheFlag,60,2248,1619,1118
Hat Trick,WeaponProficiency,20,2195,1530,1156
Goal,Ball,20,2160,1045,429
Overkill,MultiKill,35,2142,1285,1648
Hijack,Vehicles,35,1988,1624,805
Starkiller,Style,235,1940,1596,1524
Killing Frenzy,KillingSpree,40,1816,1363,1567
Gun Punch,Style,170,1767,1369,1591
Extinction,Breakout,35,1740,1220,1564
Team Takedown,Style,240,1724,1473,1215
Wingman,Style,35,1691,1379,1313
Nadeshot,Style,125,1572,1258,1451
Warthog Assist,Vehicles,135,1541,1305,524
Triple Double,Style,15,1513,1287,833
Warthog Destroyed,Vehicles,80,1324,1140,607
Fast Break,Breakout,55,1294,822,689
Buckle Up,Vehicles,5,1080,719,433
Noob Combo,Style,120,1012,707,706
Carrier Protected,CaptureTheFlag,45,1010,834,815
Mongoose Destroyed,Vehicles,90,1007,887,517
EMP Assist,Style,210,989,783,748
Cluster Luck,Style,75,938,820,881
Capture Spree,Strongholds,10,917,660,470
Trifecta,Breakout,20,870,680,825
Snipunch,WeaponProficiency,70,864,656,514
Mongoose Assist,Vehicles,145,860,755,377
Airborne Snapshot!,WeaponProficiency,10,814,613,546
Quickdraw,Style,200,803,669,757
Hard Target,Style,105,749,661,680
Perfect Kill,WeaponProficiency,25,684,528,547
Unknown Medal (3565441934),Unknown,Unknown,674,401,142
Bulltrue,Style,45,658,540,458
Perfect Kill,WeaponProficiency,30,619,479,491
Immortal,Breakout,5,592,421,475
Ball Runner,Ball,15,542,435,343
Killtacular,MultiKill,30,486,328,430
Flag Runner,CaptureTheFlag,25,428,351,408
Rocket Mary,WeaponProficiency,65,425,345,296
Stopped Short,CaptureTheFlag,5,409,335,277
Retribution,Style,110,402,379,387
Banshee Assist,Vehicles,130,385,335,131
Ball Carrier Protected,Ball,50,366,280,222
BXR,Style,90,360,335,333
Scorpion Assist,Vehicles,115,326,292,124
Banshee Destroyed,Vehicles,75,315,281,147
Scorpion Destroyed,Vehicles,60,299,277,141
Busted,Vehicles,10,266,257,229
Blind Side,Breakout,40,248,215,240
Bodyguard,Style,40,239,218,235
Showstopper,Style,30,210,201,203
Perfect Kill,WeaponProficiency,22,207,98,46
Running Riot,KillingSpree,35,207,187,195
Game Saver,Style,80,206,196,199
Mantis Assist,Vehicles,125,193,180,72
Flag Driver,CaptureTheFlag,3,188,163,133
Flag Joust,CaptureTheFlag,30,187,171,162
Ball Champion,Ball,10,182,149,171
Mantis Destroyed,Vehicles,70,181,164,90
Skyjack,Vehicles,230,164,154,103
Killtrocity,MultiKill,25,142,116,137
Clutch Kill,Style,25,130,93,54
Wraith Assist,Vehicles,120,105,99,44
Road Trip,Vehicles,25,101,94,39
Fastball,Style,65,97,92,96
Wraith Destroyed,Vehicles,65,85,80,54
Combat Evolved,Style,205,81,77,76
Superfecta,Breakout,10,80,75,80
Ball Kill,Ball,25,69,28,11
Flag Champion,CaptureTheFlag,20,58,49,58
Killamanjaro,MultiKill,20,46,41,46
Snipeltaneous!,WeaponProficiency,5,40,39,40
Rampage,KillingSpree,30,36,34,35
Pounder,Style,61,29,28,28
Pounder Assist,Style,60,29,29,28
Airsassination,Style,70,28,27,26
Pineapple Express,Vehicles,3,23,20,22
Flagsassination,CaptureTheFlag,15,19,17,18
Killtastrophe,MultiKill,15,19,17,19
Alley-Oop,Style,5,13,13,13
Perfection,KillingSpree,5,13,13,13
Killpocalypse,MultiKill,10,8,8,8
Untouchable,KillingSpree,25,7,6,7
Killionaire,MultiKill,5,4,4,4
Extermination,MultiKill,55,3,3,3
Sayonara,Style,225,3,3,3
Invincible,KillingSpree,20,2,2,2
